MSA,Population,Unnamed: 2,Unnamed: 3,Latitude,Longitude
"Springfield, MA Metro Area","460,291",,,39.7990175,-89.6439575
"Springfield, MO Metro Area","491,053",,,39.7990175,-89.6439575
"Springfield, OH Metro Area","134,610",,,,
"St Cloud, MN Metro Area","202,577",,,45.5616075,-94.1642004
"St George, UT Metro Area","202,452",,,37.104153,-113.584131
"St Joseph, MO-KS Metro Area","118,475",,,45.5645229,-94.3180516
"St Louis, MO-IL Metro Area","2,796,999",,,38.6280278,-90.1910154
"State College, PA Metro Area","157,795",,,40.7944504,-77.8616386
"Staunton-Stuarts Draft, VA Metro Area","127,344",,,38.1495947,-79.072557
"Stockton-Lodi, CA Metro Area","800,965",,,38.1307654,-121.257813
"Sumter, SC Metro Area","104,165",,,28.6689748,-82.076402
"Syracuse, NY Metro Area","652,956",,,43.0481221,-76.1474244
"Tallahassee, FL Metro Area","392,645",,,30.4380832,-84.2809332
"Tampa-St Petersburg-Clearwater, FL Metro Area","3,342,963",,,27.8920575,-82.6562638
"Terre Haute, IN Metro Area","168,787",,,39.4667025,-87.4139119
"Texarkana, TX-AR Metro Area","145,907",,,33.44667445,-94.07714830522015
"Toledo, OH Metro Area","600,141",,,39.8560679,-4.0239568
"Topeka, KS Metro Area","232,322",,,39.049011,-95.677556
"Traverse City, MI Metro Area","156,371",,,44.7606481,-85.6165976
"Trenton-Princeton, NJ Metro Area","381,671",,,40.0890465,-93.60702449746657
"Tucson, AZ Metro Area","1,063,162",,,32.2228765,-110.974847
"Tulsa, OK Metro Area","1,044,757",,,36.1563122,-95.9927516
"Tuscaloosa, AL Metro Area","278,290",,,33.2095614,-87.5675258
"Twin Falls, ID Metro Area","120,635",,,42.5558542,-114.4700684
"Tyler, TX Metro Area","245,209",,,30.7563939,-94.3984613
"Urban Honolulu, HI Metro Area","989,408",,,45.5511919,-73.5894377
"Utica-Rome, NY Metro Area","287,039",,,43.0797317,-75.5162374
"Valdosta, GA Metro Area","151,118",,,30.8327022,-83.2784851
"Vallejo, CA Metro Area","449,218",,,38.1040864,-122.2566367
"Victoria, TX Metro Area","98,808",,,-36.5986096,144.6780052
"Vineland, NJ Metro Area","152,326",,,39.4862777,-75.0254256
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","1,787,169",,,36.8041723,-76.21827561508576
"Visalia, CA Metro Area","479,468",,,36.3302284,-119.292058
"Waco, TX Metro Area","304,865",,,31.5491899,-97.1474628
"Walla Walla, WA Metro Area","61,568",,,46.2055155,-118.5174284
"Warner Robins, GA Metro Area","200,779",,,32.6200973,-83.606568
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6,304,975",,,34.0400229,-118.3175744
"Waterbury-Shelton, CT Metro Area","456,128",,,41.5423926,-73.0445803
"Waterloo-Cedar Falls, IA Metro Area","168,162",,,42.5209189,-92.4359422
"Watertown-Fort Drum, NY Metro Area","114,787",,,43.9718568,-75.9118843
"Wausau, WI Metro Area","138,612",,,44.9597858,-89.6272791
"Weirton-Steubenville, WV-OH Metro Area","113,544",,,40.3795188,-80.61635393096229
"Wenatchee-East Wenatchee, WA Metro Area","124,795",,,47.4256825,-120.2811818
"Wheeling, WV-OH Metro Area","135,517",,,42.138889,-87.9310944
"Wichita Falls, TX Metro Area","149,947",,,33.9004572,-98.5020777
"Wichita, KS Metro Area","652,939",,,37.6922361,-97.3375448
"Wildwood-The Villages, FL Metro Area","151,565",,,28.8759024,-81.98457902636167
"Williamsport, PA Metro Area","112,724",,,41.2493292,-77.0027671
"Wilmington, NC Metro Area","467,337",,,39.7459468,-75.546589
"Winchester, VA-WV Metro Area","147,260",,,51.0612766,-1.3131692
"Winston-Salem, NC Metro Area","695,630",,,36.0998131,-80.2440518
"Worcester, MA Metro Area","866,866",,,42.2625621,-71.8018877
"Yakima, WA Metro Area","256,643",,,46.601557,-120.510842
"York-Hanover, PA Metro Area","464,640",,,39.8005316,-76.9832568
"Youngstown-Warren, OH Metro Area","425,969",,,41.0819763,-80.6639701
"Yuba City, CA Metro Area","183,670",,,39.1404477,-121.6169108
"Yuma, AZ Metro Area","213,221",,,32.665135,-114.47603157249804
